city	state_id	lat	lng	density	timezone
Chattanooga	TN	35.066	-85.2481	491	America/New_York
Augusta	GA	33.3645	-82.0708	252	America/New_York
Arlington	TX	32.6998	-97.125	1600	America/Chicago
Stockton	CA	37.9765	-121.3109	1930	America/Los_Angeles
Durham	NC	35.9792	-78.9022	945	America/New_York
Palm Coast	FL	29.5389	-81.2457	357	America/New_York
Scranton	PA	41.4044	-75.6649	1174	America/New_York
Aurora	CO	39.7083	-104.7237	914	America/Denver
Oxnard	CA	34.1964	-119.1815	3023	America/Los_Angeles
Modesto	CA	37.6375	-121.0028	1923	America/Los_Angeles
Indio	CA	33.7346	-116.2346	1045	America/Los_Angeles
Kissimmee	FL	28.3041	-81.4169	1299	America/New_York
Youngstown	OH	41.0993	-80.6463	730	America/New_York
Pensacola	FL	30.4413	-87.1911	901	America/Chicago
Lancaster	CA	34.6935	-118.1753	645	America/Los_Angeles
Anaheim	CA	33.839	-117.8574	2711	America/Los_Angeles
Fayetteville	AR	36.0714	-94.1661	617	America/Chicago
Jackson	MS	32.3157	-90.2125	566	America/Chicago
Victorville	CA	34.5277	-117.3536	644	America/Los_Angeles
Bonita Springs	FL	26.3558	-81.7859	580	America/New_York
Greensboro	NC	36.0956	-79.8271	877	America/New_York
Corpus Christi	TX	27.7254	-97.3767	776	America/Chicago
Flint	MI	43.0236	-83.6921	1108	America/Detroit
Fayetteville	NC	35.085	-78.9772	550	America/New_York
Santa Ana	CA	33.7367	-117.8819	4697	America/Los_Angeles
Fort Wayne	IN	41.0888	-85.1436	935	America/Indiana/Indianapolis
Mobile	AL	30.6782	-88.1162	525	America/Chicago
Lansing	MI	42.7142	-84.5601	1158	America/Detroit
Ann Arbor	MI	42.2759	-83.731	1657	America/Detroit
Huntsville	AL	34.6981	-86.6412	353	America/Chicago
Lexington	KY	38.0423	-84.4587	438	America/New_York
Santa Rosa	CA	38.4458	-122.7067	1619	America/Los_Angeles
Antioch	CA	37.9787	-121.796	1475	America/Los_Angeles
Asheville	NC	35.5707	-82.5537	783	America/New_York
Henderson	NV	36.0133	-115.0381	1126	America/Los_Angeles
St. Paul	MN	44.9478	-93.1039	2272	America/Chicago
Fort Collins	CO	40.5477	-105.0656	1120	America/Denver
Lakeland	FL	28.0557	-81.9545	643	America/New_York
Springfield	MO	37.1943	-93.2916	785	America/Chicago
The Woodlands	TX	30.1738	-95.5134	1020	America/Chicago
Shreveport	LA	32.4653	-93.7955	680	America/Chicago
Trenton	NJ	40.2237	-74.7641	4248	America/New_York
Plano	TX	33.0502	-96.7486	1555	America/Chicago
Round Lake Beach	IL	42.3791	-88.0811	2090	America/Chicago
South Bend	IN	41.6767	-86.2696	944	America/Indiana/Indianapolis
Savannah	GA	32.0286	-81.1821	525	America/New_York
Newark	NJ	40.7245	-74.1725	4508	America/New_York
Davenport	IA	41.5565	-90.6053	618	America/Chicago
Myrtle Beach	SC	33.7094	-78.8844	552	America/New_York
Lincoln	NE	40.8099	-96.6784	1131	America/Chicago
Rockford	IL	42.2596	-89.064	881	America/Chicago
Reading	PA	40.34	-75.9267	3464	America/New_York
Canton	OH	40.8078	-81.3676	1039	America/New_York
Irvine	CA	33.6772	-117.7738	1604	America/Los_Angeles
Eugene	OR	44.0564	-123.1174	1489	America/Los_Angeles
Chula Vista	CA	32.6281	-117.0144	2090	America/Los_Angeles
St. Petersburg	FL	27.7931	-82.6652	1648	America/New_York
Salem	OR	44.9233	-123.0244	1359	America/Los_Angeles
Lafayette	LA	30.2082	-92.0325	876	America/Chicago
Laredo	TX	27.5625	-99.4874	944	America/Chicago
Jersey City	NJ	40.7184	-74.0686	6878	America/New_York
Santa Clarita	CA	34.4175	-118.4964	1159	America/Los_Angeles
Aguadilla	PR	18.4382	-67.1537	1681	America/Puerto_Rico
Wilmington	NC	34.2099	-77.8866	917	America/New_York
Lubbock	TX	33.5657	-101.8879	737	America/Chicago
Chandler	AZ	33.2825	-111.8514	1520	America/Phoenix
Scottsdale	AZ	33.6872	-111.8651	535	America/Phoenix
Tallahassee	FL	30.4551	-84.2527	737	America/New_York
Montgomery	AL	32.3482	-86.2668	480	America/Chicago
Peoria	IL	40.752	-89.6154	906	America/Chicago
Glendale	AZ	33.5791	-112.2311	1568	America/Phoenix
Columbus	GA	32.51	-84.8771	348	America/New_York
Anchorage	AK	61.1508	-149.1091	66	America/Anchorage
Gilbert	AZ	33.31	-111.7463	1398	America/Phoenix
North Las Vegas	NV	36.2883	-115.0888	942	America/Los_Angeles
Avondale	AZ	33.3873	-112.3235	703	America/Phoenix
McKinney	TX	33.2016	-96.667	1102	America/Chicago
Norfolk	VA	36.8945	-76.259	1770	America/New_York
Chesapeake	VA	36.6778	-76.3023	276	America/New_York
Kennewick	WA	46.1978	-119.1732	1162	America/Los_Angeles
Winter Haven	FL	28.0118	-81.7014	510	America/New_York
Irving	TX	32.8583	-96.9702	1386	America/Chicago
Garland	TX	32.91	-96.6304	1612	America/Chicago
York	PA	39.9651	-76.7315	3211	America/New_York
Concord	NC	35.3933	-80.6369	572	America/New_York
Arlington	VA	38.8786	-77.1011	3511	America/New_York
Atlantic City	NJ	39.3797	-74.4527	1356	America/New_York
Visalia	CA	36.3276	-119.3269	1354	America/Los_Angeles
Fremont	CA	37.5265	-121.9843	1157	America/Los_Angeles
Hialeah	FL	25.8696	-80.3045	4184	America/New_York
Nashua	NH	42.7491	-71.491	1115	America/New_York
Killeen	TX	31.0753	-97.7297	1045	America/Chicago
Gulfport	MS	30.4274	-89.0704	497	America/Chicago
Brownsville	TX	25.9975	-97.458	534	America/Matamoros
Evansville	IN	37.9881	-87.5341	965	America/Chicago
Appleton	WI	44.278	-88.3892	1150	America/Chicago
Navarre	FL	30.4174	-86.8907	625	America/Chicago
Bel Air South	MD	39.5022	-76.3113	998	America/New_York
Kalamazoo	MI	42.2749	-85.5882	1189	America/Detroit
Bremerton	WA	47.5436	-122.7121	560	America/Los_Angeles
Spring Valley	NV	36.0952	-115.2636	2378	America/Los_Angeles
San Bernardino	CA	34.1416	-117.2943	1347	America/Los_Angeles
Roanoke	VA	37.2785	-79.9581	900	America/New_York
Spartanburg	SC	34.9442	-81.9251	720	America/New_York
Tacoma	WA	47.2431	-122.4531	1675	America/Los_Angeles
Enterprise	NV	36.0091	-115.2278	1255	America/Los_Angeles
Green Bay	WI	44.5148	-87.9895	887	America/Chicago
Portland	ME	43.6773	-70.2715	1195	America/New_York
Thousand Oaks	CA	34.1914	-118.8756	891	America/Los_Angeles
Fontana	CA	34.0968	-117.4599	1906	America/Los_Angeles
Hickory	NC	35.741	-81.3223	515	America/New_York
Moreno Valley	CA	33.9244	-117.2045	1570	America/Los_Angeles
Deltona	FL	28.905	-81.2137	950	America/New_York
Fargo	ND	46.8651	-96.8292	957	America/Chicago
Santa Barbara	CA	34.4285	-119.7202	1799	America/Los_Angeles
College Station	TX	30.5852	-96.2959	873	America/Chicago
Gainesville	FL	29.6804	-82.3459	816	America/New_York
Amarillo	TX	35.1984	-101.8316	751	America/Chicago
Norwich	CT	41.5495	-72.0882	538	America/New_York
Olympia	WA	47.0417	-122.8959	1108	America/Los_Angeles
Yonkers	NY	40.9466	-73.8673	4292	America/New_York
Huntington Beach	CA	33.696	-118.0018	2857	America/Los_Angeles
Glendale	CA	34.1819	-118.2468	2525	America/Los_Angeles
Aurora	IL	41.7638	-88.2902	1709	America/Chicago
Huntington	WV	38.4109	-82.4345	1098	America/New_York
Sunrise Manor	NV	36.1783	-115.0487	2269	America/Los_Angeles
North Port	FL	27.0576	-82.1977	267	America/New_York
Hagerstown	MD	39.6401	-77.7217	1270	America/New_York
Grand Prairie	TX	32.6871	-97.0208	1031	America/Chicago
Overland Park	KS	38.887	-94.687	993	America/Chicago
Paradise	NV	36.0872	-115.1355	1758	America/Los_Angeles
Tempe	AZ	33.3881	-111.9319	1852	America/Phoenix
Salinas	CA	36.6883	-121.6317	2564	America/Los_Angeles
Erie	PA	42.1167	-80.0733	1948	America/New_York
Cedar Rapids	IA	41.9662	-91.6783	712	America/Chicago
Waterbury	CT	41.5582	-73.0361	1460	America/New_York
Frisco	TX	33.156	-96.8216	1059	America/Chicago
Waco	TX	31.5599	-97.1882	599	America/Chicago
Gastonia	NC	35.2494	-81.1854	572	America/New_York
Clarksville	TN	36.5692	-87.3413	606	America/Chicago
Vancouver	WA	45.6366	-122.5967	1448	America/Los_Angeles
Lorain	OH	41.4409	-82.184	1044	America/New_York
Nampa	ID	43.5844	-116.5638	1116	America/Boise
Fort Lauderdale	FL	26.1412	-80.1464	2029	America/New_York
Hemet	CA	33.7341	-116.9969	1116	America/Los_Angeles
Newport News	VA	37.1051	-76.5185	1005	America/New_York
Ontario	CA	34.0393	-117.6064	1376	America/Los_Angeles
Rancho Cucamonga	CA	34.1247	-117.5667	1714	America/Los_Angeles
Vallejo	CA	38.1125	-122.2342	1539	America/Los_Angeles
Oceanside	CA	33.2247	-117.3083	1643	America/Los_Angeles
Vero Beach South	FL	27.6132	-80.4163	939	America/New_York
Ocala	FL	29.178	-82.1511	490	America/New_York
Sioux Falls	SD	43.5396	-96.7311	883	America/Chicago
Danbury	CT	41.4015	-73.4709	777	America/New_York
Elk Grove	CA	38.4161	-121.3842	1594	America/Los_Angeles
High Point	NC	35.991	-79.9937	770	America/New_York
Garden Grove	CA	33.7787	-117.9601	3715	America/Los_Angeles
Peoria	AZ	33.7843	-112.2989	377	America/Phoenix
Pembroke Pines	FL	26.0128	-80.3382	2031	America/New_York
Medford	OR	42.3372	-122.854	1224	America/Los_Angeles
Murfreesboro	TN	35.849	-86.4121	869	America/Chicago
Cary	NC	35.7819	-78.8195	1102	America/New_York
Lafayette	IN	40.3991	-86.8593	953	America/Indiana/Indianapolis
Corona	CA	33.8616	-117.5649	1625	America/Los_Angeles
Santa Cruz	CA	36.9789	-122.0346	1970	America/Los_Angeles
Spring Hill	FL	28.4798	-82.53	732	America/New_York
Muskegon	MI	43.2281	-86.2562	1018	America/Detroit
Manchester	NH	42.9848	-71.4447	1312	America/New_York
Marysville	WA	48.0809	-122.1561	1295	America/Los_Angeles
Springfield	IL	39.7709	-89.654	726	America/Chicago
Frederick	MD	39.4337	-77.4141	1158	America/New_York
Hayward	CA	37.6328	-122.0766	1338	America/Los_Angeles
Alexandria	VA	38.8185	-77.0861	4092	America/New_York
Bayamón	PR	18.3794	-66.1635	2250	America/Puerto_Rico
Port Arthur	TX	29.8554	-93.9264	273	America/Chicago
Lakewood	CO	39.6977	-105.1172	1383	America/Denver
Fredericksburg	VA	38.2992	-77.4872	1073	America/New_York
Leesburg	FL	28.7672	-81.8962	232	America/New_York
Hollywood	FL	26.0293	-80.1679	2177	America/New_York
Palmdale	CA	34.5944	-118.1057	557	America/Los_Angeles
Macon	GA	32.8065	-83.6974	236	America/New_York
Kansas City	KS	39.1235	-94.7443	473	America/Chicago
Champaign	IL	40.1142	-88.2737	1486	America/Chicago
Sunnyvale	CA	37.3836	-122.0255	2670	America/Los_Angeles
Pasadena	TX	29.6575	-95.1498	1348	America/Chicago
Pomona	CA	34.0585	-117.7626	2538	America/Los_Angeles
Escondido	CA	33.1348	-117.0723	1554	America/Los_Angeles
Mauldin	SC	34.7821	-82.3032	842	America/New_York
New Bedford	MA	41.6697	-70.9428	1840	America/New_York
Panama City	FL	30.1995	-85.6003	395	America/Chicago
Tuscaloosa	AL	33.2348	-87.5268	627	America/Chicago
Warner Robins	GA	32.5961	-83.6527	786	America/New_York
Naperville	IL	41.748	-88.1659	1459	America/Chicago
Merced	CA	37.3057	-120.4779	1396	America/Los_Angeles
Elkhart	IN	41.6916	-85.9627	739	America/Indiana/Indianapolis
Joliet	IL	41.5188	-88.1499	881	America/Chicago
Binghamton	NY	42.1014	-75.9093	1651	America/New_York
Houma	LA	29.58	-90.7059	882	America/Chicago
Bellevue	WA	47.5951	-122.1535	1686	America/Los_Angeles
Topeka	KS	39.0346	-95.6955	790	America/Chicago
Paterson	NJ	40.9147	-74.1624	6676	America/New_York
Lake Charles	LA	30.201	-93.2111	658	America/Chicago
Torrance	CA	33.8346	-118.3416	2717	America/Los_Angeles
Thornton	CO	39.9197	-104.9438	1549	America/Denver
Tyler	TX	32.3184	-95.3062	711	America/Chicago
Athens	GA	33.9508	-83.3689	414	America/New_York
Beaumont	TX	30.0849	-94.1451	549	America/Chicago
Pueblo	CO	38.2701	-104.6114	779	America/Denver
Odessa	TX	31.8801	-102.3448	926	America/Chicago
Mesquite	TX	32.7602	-96.5865	1134	America/Chicago
Fairfield	CA	38.2583	-122.0335	1081	America/Los_Angeles
Pasadena	CA	34.1597	-118.139	2388	America/Los_Angeles
Charleston	WV	38.3484	-81.6322	579	America/New_York
Fullerton	CA	33.8841	-117.9279	2429	America/Los_Angeles
Miramar	FL	25.9773	-80.3351	1879	America/New_York
Midland	TX	32.0243	-102.1147	722	America/Chicago
Gainesville	GA	34.2902	-83.8294	479	America/New_York
Orange	CA	33.8038	-117.8218	2095	America/Los_Angeles
Olathe	KS	38.8833	-94.82	868	America/Chicago
Santa Maria	CA	34.9333	-120.4431	1786	America/Los_Angeles
Surprise	AZ	33.6815	-112.4515	486	America/Phoenix
Roseville	CA	38.7703	-121.3196	1216	America/Los_Angeles
Metairie	LA	29.9977	-90.178	2299	America/Chicago
Yuma	AZ	32.5995	-114.5491	311	America/Phoenix
Carrollton	TX	32.989	-96.8999	1446	America/Chicago
Burlington	NC	36.076	-79.4685	699	America/New_York
West Valley City	UT	40.6886	-112.0123	1461	America/Denver
Hampton	VA	37.0551	-76.363	1014	America/New_York
Racine	WI	42.7274	-87.8135	1918	America/Chicago
Greeley	CO	40.4152	-104.7706	847	America/Denver
Harlingen	TX	26.1916	-97.6977	625	America/Chicago
Carolina	PR	18.4054	-65.9792	2502	America/Puerto_Rico
Warren	MI	42.4934	-83.027	1507	America/Detroit
Grand Junction	CO	39.0877	-108.5673	606	America/Denver
Coral Springs	FL	26.2702	-80.2591	2252	America/New_York
Columbia	MO	38.9472	-92.3268	711	America/Chicago
Bloomington	IL	40.4757	-88.9703	1106	America/Chicago
Sterling Heights	MI	42.5809	-83.0305	1401	America/Detroit
Stamford	CT	41.1039	-73.5585	1334	America/New_York
Kent	WA	47.3887	-122.2128	1487	America/Los_Angeles
Bellingham	WA	48.7548	-122.469	1246	America/Los_Angeles
Las Cruces	NM	32.3265	-106.7893	516	America/Denver
Greenville	NC	35.5943	-77.376	979	America/New_York
Round Rock	TX	30.527	-97.6642	1321	America/Chicago
Elizabeth	NJ	40.6658	-74.1913	4027	America/New_York
South Lyon	MI	42.4614	-83.6526	1219	America/Detroit
Simi Valley	CA	34.2663	-118.749	1168	America/Los_Angeles
Santa Clara	CA	37.3646	-121.968	2677	America/Los_Angeles
Yakima	WA	46.5923	-120.5496	1302	America/Los_Angeles
Johnson City	TN	36.3406	-82.3806	596	America/New_York
Dover	DE	39.161	-75.5202	617	America/New_York
Pearland	TX	29.5581	-95.3218	998	America/Chicago
Lynchburg	VA	37.4003	-79.1909	638	America/New_York
Fort Smith	AR	35.3495	-94.3695	529	America/Chicago
Yuba City	CA	39.1357	-121.6383	1718	America/Los_Angeles
Lehigh Acres	FL	26.612	-81.6388	518	America/New_York
Kenosha	WI	42.5865	-87.8773	1359	America/Chicago
Arecibo	PR	18.4491	-66.7387	970	America/Puerto_Rico
Berkeley	CA	37.8722	-122.276	4554	America/Los_Angeles
Boulder	CO	40.0248	-105.2524	1595	America/Denver
Texas City	TX	29.4154	-94.9682	288	America/Chicago
Iowa City	IA	41.6559	-91.5303	1144	America/Chicago
Waldorf	MD	38.6085	-76.9194	827	America/New_York
East Los Angeles	CA	34.0326	-118.1691	6242	America/Los_Angeles
Redding	CA	40.5698	-122.365	595	America/Los_Angeles
Arvada	CO	39.832	-105.151	1193	America/Denver
The Villages	FL	28.9034	-81.9887	963	America/New_York
Saginaw	MI	43.4199	-83.9501	1093	America/Detroit
Ponce	PR	18.0127	-66.6212	1497	America/Puerto_Rico
Richardson	TX	32.9716	-96.7093	1602	America/Chicago
Sugar Land	TX	29.5935	-95.6358	1131	America/Chicago
Leominster	MA	42.5209	-71.7717	557	America/New_York
St. Cloud	MN	45.534	-94.1718	660	America/Chicago
Duluth	MN	46.7756	-92.1393	462	America/Chicago
Cambridge	MA	42.3759	-71.1185	7115	America/New_York
Monroe	LA	32.5185	-92.0774	623	America/Chicago
Independence	MO	39.0871	-94.3501	579	America/Chicago
Rochester	MN	44.0154	-92.478	814	America/Chicago
Rock Hill	SC	34.9415	-81.0241	736	America/New_York
Bloomington	IN	39.1637	-86.5257	1407	America/Indiana/Indianapolis
Billings	MT	45.7891	-108.5526	945	America/Denver
Seaside	CA	36.6224	-121.8199	1473	America/Los_Angeles
Clearwater	FL	27.979	-82.7623	1716	America/New_York
Brandon	FL	27.9367	-82.3	1350	America/New_York
Burlington	VT	44.4876	-73.2316	1596	America/New_York
Pottstown	PA	40.2508	-75.6445	1801	America/New_York
Waterloo	IA	42.4918	-92.3522	424	America/Chicago
West Jordan	UT	40.6024	-112.0008	1375	America/Denver
Coeur d'Alene	ID	47.704	-116.7936	1234	America/Los_Angeles
Westminster	CO	39.8837	-105.0624	1403	America/Denver
St. George	UT	37.0758	-113.5752	429	America/Denver
Gilroy	CA	37.0046	-121.5854	1289	America/Los_Angeles
Carlsbad	CA	33.1246	-117.2834	1169	America/Los_Angeles
El Monte	CA	34.0739	-118.0291	4602	America/Los_Angeles
North Charleston	SC	32.9067	-80.0722	566	America/New_York
Chico	CA	39.7578	-121.8161	1116	America/Los_Angeles
Temecula	CA	33.4928	-117.1315	1171	America/Los_Angeles
Costa Mesa	CA	33.6667	-117.9135	2759	America/Los_Angeles
Utica	NY	43.0962	-75.2261	1384	America/New_York
Clovis	CA	36.8278	-119.683	1711	America/Los_Angeles
Norman	OK	35.2335	-97.3471	267	America/Chicago
Elgin	IL	42.0383	-88.324	1137	America/Chicago
Centennial	CO	39.5926	-104.8673	1446	America/Denver
Lowell	MA	42.6389	-71.3217	3157	America/New_York
Downey	CA	33.9379	-118.1311	3462	America/Los_Angeles
Pompano Beach	FL	26.2428	-80.1312	1787	America/New_York
West Palm Beach	FL	26.7469	-80.132	796	America/New_York
Abilene	TX	32.4543	-99.7384	451	America/Chicago
Everett	WA	47.9525	-122.1669	1289	America/Los_Angeles
Miami Gardens	FL	25.9433	-80.2426	2346	America/New_York
Gresham	OR	45.5021	-122.4413	1817	America/Los_Angeles
El Centro	CA	32.7865	-115.5595	1430	America/Los_Angeles
Richmond	CA	37.9477	-122.3389	1413	America/Los_Angeles
Inglewood	CA	33.9566	-118.3444	4654	America/Los_Angeles
Salisbury	MD	38.3756	-75.5865	920	America/New_York
Broken Arrow	OK	36.038	-95.7806	667	America/Chicago
San Buenaventura	CA	34.2741	-119.2314	1913	America/Los_Angeles
Sandy Springs	GA	33.9366	-84.3703	1109	America/New_York
Hillsboro	OR	45.5273	-122.936	1624	America/Los_Angeles
Sioux City	IA	42.4959	-96.3901	545	America/Chicago
Jacksonville	NC	34.7289	-77.3941	589	America/New_York
Meridian	ID	43.6116	-116.3977	1186	America/Boise
Lewisville	TX	33.0454	-96.9815	1124	America/Chicago
Bend	OR	44.0563	-121.3095	1114	America/Los_Angeles
Daly City	CA	37.6862	-122.4685	5418	America/Los_Angeles
Highlands Ranch	CO	39.5419	-104.9708	1702	America/Denver
Jurupa Valley	CA	34.001	-117.4706	958	America/Los_Angeles
Temple	TX	31.1068	-97.3891	415	America/Chicago
Logan	UT	41.7399	-111.8422	1109	America/Denver
Kailua	HI	21.392	-157.7396	1882	Pacific/Honolulu
West Covina	CA	34.0555	-117.9113	2547	America/Los_Angeles
Davie	FL	26.0789	-80.287	1168	America/New_York
Columbia	MD	39.2004	-76.859	1274	America/New_York
League City	TX	29.4874	-95.1087	793	America/Chicago
Mandeville	LA	30.3751	-90.0904	681	America/Chicago
San Tan Valley	AZ	33.1786	-111.5629	534	America/Phoenix
Turlock	CA	37.5053	-120.8588	1660	America/Los_Angeles
Norwalk	CA	33.9069	-118.0829	4157	America/Los_Angeles
Allen	TX	33.1088	-96.6735	1521	America/Chicago
San Germán	PR	18.0827	-67.046	1270	America/Puerto_Rico
San Mateo	CA	37.5522	-122.3121	3297	America/Los_Angeles
Rialto	CA	34.1175	-117.3892	1659	America/Los_Angeles
Burbank	CA	34.1879	-118.3235	2305	America/Los_Angeles
El Cajon	CA	32.8017	-116.9604	2747	America/Los_Angeles
Eau Claire	WI	44.8197	-91.4948	807	America/Chicago
Sparks	NV	39.5736	-119.7161	1090	America/Los_Angeles
Charlottesville	VA	38.0375	-78.4855	1779	America/New_York
Renton	WA	47.4784	-122.1918	1675	America/Los_Angeles
Idaho Falls	ID	43.4871	-112.0362	1004	America/Boise
Vista	CA	33.1896	-117.2386	2073	America/Los_Angeles
Holland	MI	42.7677	-86.0984	771	America/Detroit
Longmont	CO	40.1686	-105.1005	1286	America/Denver
Wichita Falls	TX	33.9072	-98.5291	561	America/Chicago
Lafayette	CO	39.9946	-105.0998	1170	America/Denver
Vacaville	CA	38.3587	-121.9673	1292	America/Los_Angeles
Spokane Valley	WA	47.6626	-117.2346	1016	America/Los_Angeles
La Crosse	WI	43.8241	-91.2268	916	America/Chicago
Carmel	IN	39.965	-86.146	779	America/Indiana/Indianapolis
Boca Raton	FL	26.3752	-80.108	1307	America/New_York
Longview	TX	32.5193	-94.7622	568	America/Chicago
